"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color","x_accessibilita_linea","x_ordinamento_linea"
"B713","AMAT_Milan_feed","713","sesto rimembranze - milano bignami m5","","3","","","","1","104"
"B727","AMAT_Milan_feed","727","stz cormano-cusano fn - sesto s.g. (1 maggio)","","3","","","","1","105"
"B728","AMAT_Milan_feed","728","cusano m. (unione) - bignami m5","","3","","","","1","106"
"B729","AMAT_Milan_feed","729","comasina m3 - sesto s.g.","","3","","","","1","107"
"B783","AMAT_Milan_feed","783","bresso don minzoni - milano bicocca m5","","3","","","","1","108"
"B901","AMAT_Milan_feed","901","milano (s. donato m3) - peschiera b.(don sturzo)","","3","","","","1","109"
"B902","AMAT_Milan_feed","902","milano (s.donato m3) - peschiera b.(via dante)","","3","","","","1","110"
"B922","AMAT_Milan_feed","922","(scolastica) residenza archi milano 2 - morelli","","3","","","","1","111"
"B923","AMAT_Milan_feed","923","aeroporto linate - h.s.raffaele (transita san felice - stazione fs - cimitero)","","3","","","","1","112"
"B924","AMAT_Milan_feed","924","segrate (s.ambrogio) - milano (bottini)","","3","","","","1","113"
"B925","AMAT_Milan_feed","925","milano (cascina gobba m2) - milano (udine)","","3","","","","1","114"
"B926","AMAT_Milan_feed","926","segrate fs - peschiera b. (san felicino)","","3","","","","1","115"
"BNM1","AMAT_Milan_feed","NM1","sesto fs - molino dorino","","3","","","","1","117"
"BNM2","AMAT_Milan_feed","NM2","abbiategrasso - cascina gobba  (nm2)","","3","","","","1","118"
"BNM3","AMAT_Milan_feed","NM3","comasina m3 - san donato m3","","3","","","","1","119"
"BN15","AMAT_Milan_feed","N15","gratosoglio - p.za diaz","","3","","","","1","120"
"BN24","AMAT_Milan_feed","N24","duomo - vigentino","","3","","","","1","121"
"BN25","AMAT_Milan_feed","N25","centrale fs m2 m3 - cadorna fn m1 m2","","3","","","","1","122"
"BN26","AMAT_Milan_feed","N26","centrale fs m2 m3 - cadorna fn m1 m2","","3","","","","1","123"
"BN27","AMAT_Milan_feed","N27","ungheria- p.za diaz","","3","","","","1","124"
"BQ34","AMAT_Milan_feed","BdQ34","noverasco - brenta m3","","3","","","","1","125"
"BQ39","AMAT_Milan_feed","BdQ39","stz lambrate m2 - rubattino","","3","","","","1","126"
"BQ41","AMAT_Milan_feed","BdQ41","bovisasca - affori m3","","3","","","","1","127"
"BQ44","AMAT_Milan_feed","BdQ44","gorla m1 - c.na gobba m2","","3","","","","1","128"
"BQ45","AMAT_Milan_feed","BdQ45","l.go rodari - san donato m3","","3","","","","1","129"
"BQ46","AMAT_Milan_feed","BdQ46","famagosta m2 - cantalupa","","3","","","","1","130"
"BQ52","AMAT_Milan_feed","BdQ52","niguarda (parco nord) - bicocca m5","","3","","","","1","131"
"BQ55","AMAT_Milan_feed","BdQ55","loreto - stz lambrate m2","","3","","","","1","132"
"BQ68","AMAT_Milan_feed","BdQ68","uruguay -molino dorino m1 (appennini)","","3","","","","1","133"
"BQ75","AMAT_Milan_feed","BdQ75","udine - rizzoli","","3","","","","1","134"
"BQ76","AMAT_Milan_feed","BdQ76","madonna della provvidenza - bisceglie m1","","3","","","","1","135"
"BQ78","AMAT_Milan_feed","BdQ78","govone - s.siro stadio m5","","3","","","","1","136"
"BQ79","AMAT_Milan_feed","BdQ79","gratosoglio - abbiategrasso m2","","3","","","","1","137"
"BQ86","AMAT_Milan_feed","BdQ86","testi s. monica-c.na gobba","","3","","","","1","138"
"BQ88","AMAT_Milan_feed","BdQ88","rogoredo m3 - ungheria","","3","","","","1","139"
"M5","AMAT_Milan_feed","5","m5 - linea lilla","","1","","c876b1","","1","4"
"M1","AMAT_Milan_feed","1","m1 - linea rossa","","1","","ff0000","","1","1"
"M2","AMAT_Milan_feed","2","m2 - linea verde","","1","","73ff01","","1","2"
"M3","AMAT_Milan_feed","3","m3 - linea gialla","","1","","fcff01","","1","3"
"B201","AMAT_Milan_feed","201","rozzano (milano) - rozzano (alberelle)","","3","","","","1","74"
"B220","AMAT_Milan_feed","220","rozzano - pieve","","3","","","","1","75"
"B222","AMAT_Milan_feed","222","pieve e. (staz fs) - milano (ripamonti)                                            ","","3","","","","1","76"
"B230","AMAT_Milan_feed","230","basiglio - abbiategrasso m2","","3","","","","1","77"
"B328","AMAT_Milan_feed","328","assago m2 - rozzano ","","3","","","","1","83"
"B423","AMAT_Milan_feed","423","milano (san siro m5) - settimo m. (della libertÃ )                               ","","3","","","","1","87"
"B424","AMAT_Milan_feed","424","bareggio (gallina) - molino dorino m1                                           ","","3","","","","1","88"
"B431","AMAT_Milan_feed","431","bareggio - rho fs","","3","","","","1","89"
"B433","AMAT_Milan_feed","433","cornaredo (artigianato) - bisceglie m1","","3","","","","1","90"
"B528","AMAT_Milan_feed","528","cim. maggiore - molino dorino m1","","3","","","","1","91"
"B542","AMAT_Milan_feed","542","casa di reclusione - rho fiera","","3","","","","1","92"
"B560","AMAT_Milan_feed","560","arese (alfa romeo porta est)- milano (m1 qt8)","","3","","","","1","93"
"B561","AMAT_Milan_feed","561","arese - rho fiera m1","","3","","","","1","94"
"B566","AMAT_Milan_feed","566","paderno dugnano - milano","","3","","","","1","95"
"B965","AMAT_Milan_feed","965","milano - pioltello","","3","","","","1","116"
